code;label-en_US;label-zh_CN;label-es_ES;attribute;sort_order
lithium_ion;"Lithium Ion";;;battery_power_type;0
1_2_inch;"1/2 Inch";;;chuck_size;0
keyless;Keyless;;;chuck_type;0
red;Red;;;color;0
black;Black;;;color;0
5315;beige;米色;beige;color;0
5316;black;黑色;negro;color;0
5317;blue;蓝色;azul;color;0
5319;brown;棕色;marrón;color;0
5321;gold;金色;dorado;color;0
5325;grey;灰色;gris;color;0
5326;green;绿色;verde;color;0
5328;metallic;金属感;metálico;color;0
5330;multicoloured;彩色;multicolor;color;0
5333;neutrals;中性色;neutros;color;0
5334;orange;橙色;anaranjado;color;0
5336;pink;粉红色;rosado;color;0
5338;purple;紫色;púrpura;color;0
5339;red;红色;rojo;color;0
5340;silver;银色;plateado;color;0
5341;turquoise;碧蓝色;turquesa;color;0
5342;white;白色;blanco;color;0
5343;yellow;黄色;amarillo;color;0
titan_gray;"Titan Gray";;;color;0
blue;Blue;;;color;0
brown;Brown;;;color;0
green;Green;;;color;0
grey;Grey;;;color;0
pink;Pink;;;color;0
orange;Orange;;;color;0
yellow;Yellow;;;color;0
white;White;;;color;0
silver;Silver;;;color;2
cinnamon;Cinnamon;;;color;3
charcoal;Charcoal;;;color;4
blueberry;Blueberry;;;color;5
384;"Cherish Star";"Cherish Star";"Cherish Star";color;6
657;"Pink Star";"Pink Star";"Pink Star";color;7
892;"Daring Star";"Daring Star";"Daring Star";color;8
723;"Blessing Star";"Blessing Star";"Blessing Star";color;9
740;"Happy Star";"Happy Star";"Happy Star";color;10
brushless;Brushless;;;motor_type;0
forward_reverse_switch;"Forward/Reverse Switch";;;power_tool_features;0
keyless_chuck;"Keyless Chuck";;;power_tool_features;1
led_light;"LED Light";;;power_tool_features;2
sub_compact;Sub-Compact;;;power_tool_features;3
csa_listed;"CSA Listed";;;certifications;0
bio;"European Bio";欧洲生物;"European Bio";certifications;0
rohs;RoHS;;;certifications;1
fair_for_life;"Fair for life";一生公平;"Fair for life";certifications;1
ce;CE;;;certifications;2
vegan;Vegan;;;certifications;3
ac;AC;;;power_type;0
plastic;Plastic;;;material;0
titanium;Titanium;;;material;1
polyester;Polyester;;;material;2
cane;Cane;;;material;3
wood;Wood;;;material;4
patent_leather;"Patent Leather";;;material;5
straw;Straw;;;material;6
aluminium;Aluminium;;;material;7
polyurethane;Polyurethane;;;material;8
velvet_100;Velvet;;;material;9
brass;Brass;;;material;10
hex;Hex;;;shank_style;0
twist;Twist;;;drill_bit_type;0
wood;Wood;;;uses;0
pvc;PVC;;;uses;1
metal;Metal;;;uses;2
diy_max;DIY-MAX;DIY-MAX;DIY-MAX;brand;0
samsung;Samsung;Samsung;Samsung;brand;0
canon;Canon;Canon;Canon;brand;0
a4tech;A4Tech;A4Tech;A4Tech;brand;0
acer;Acer;Acer;Acer;brand;0
aoc;AOC;AOC;AOC;brand;0
approx;Approx;Approx;Approx;brand;0
asus;Asus;Asus;Asus;brand;0
avision;Avision;Avision;Avision;brand;0
brother;Brother;Brother;Brother;brand;0
dlink;D-link;D-link;D-link;brand;0
dell;Dell;Dell;Dell;brand;0
fujifilm;Fujifilm;Fujifilm;Fujifilm;brand;0
hiper;Hiper;Hiper;Hiper;brand;0
h_p;HP;HP;HP;brand;0
icidu;Icidu;Icidu;Icidu;brand;0
ion;Ion;Ion;Ion;brand;0
kodak;Kodak;Kodak;Kodak;brand;0
lenco;Lenco;Lenco;Lenco;brand;0
lexmark;Lexmark;Lexmark;Lexmark;brand;0
l_g;LG;LG;LG;brand;0
microsoft;Microsoft;Microsoft;Microsoft;brand;0
nec;NEC;NEC;NEC;brand;0
ngs;NGS;NGS;NGS;brand;0
oki;OKI;OKI;OKI;brand;0
philips;Philips;Philips;Philips;brand;0
ricatech;Ricatech;Ricatech;Ricatech;brand;0
ricoh;Ricoh;Ricoh;Ricoh;brand;0
salora;Salora;Salora;Salora;brand;0
sony;Sony;Sony;Sony;brand;0
toshiba;Toshiba;Toshiba;Toshiba;brand;0
trust;Trust;Trust;Trust;brand;0
v_7;V7;V8;V9;brand;0
xerox;Xerox;Xerox;Xerox;brand;0
yarvik;Yarvik;Yarvik;Yarvik;brand;0
amp;AMP;AMP;AMP;brand;0
country_range;"Country Range";"Country Range";"Country Range";brand;1
antares;Antares;Antares;Antares;brand;1
alpro;Alpro;Alpro;Alpro;brand;2
bfgoodrich;BFGoodrich;BFGoodrich;BFGoodrich;brand;2
scotti;Scotti;Scotti;Scotti;brand;3
bridgestone;Bridgestone;Bridgestone;Bridgestone;brand;3
audioquest;AudioQuest;AudioQuest;AudioQuest;brand;4
carlisle;Carlisle;Carlisle;Carlisle;brand;4
dior;Dior;Dior;Dior;brand;5
continental;Continental;Continental;Continental;brand;5
biolane;Biolane;Biolane;Biolane;brand;6
cooper_tires;"Cooper Tires";"Cooper Tires";"Cooper Tires";brand;6
nuxe;Nuxe;Nuxe;Nuxe;brand;7
dunlop;Dunlop;Dunlop;Dunlop;brand;7
nature_moi;"Naturé Moi";"Naturé Moi";"Naturé Moi";brand;8
durun;Durun;Durun;Durun;brand;8
floradix;Floradix;Floradix;Floradix;brand;9
evergreen;Evergreen;Evergreen;Evergreen;brand;9
nurofen;Nurofen;Nurofen;Nurofen;brand;10
falken;Falken;Falken;Falken;brand;10
nytol;Nytol;Nytol;Nytol;brand;11
farroad;Farroad;Farroad;Farroad;brand;11
deep_heat;"Deep Heat";"Deep Heat";"Deep Heat";brand;12
firestone;Firestone;Firestone;Firestone;brand;12
epson;Epson;Epson;Epson;brand;13
fuzion;Fuzion;Fuzion;Fuzion;brand;13
general_tire;"General Tire";"General Tire";"General Tire";brand;14
smeg;Smeg;Smeg;Smeg;brand;15
ginell;Ginell;Ginell;Ginell;brand;15
seven_seas;"Seven Seas";"Seven Seas";"Seven Seas";brand;16
goodride_westlake;Goodride/Westlake;Goodride/Westlake;Goodride/Westlake;brand;16
sambucol;Sambucol;Sambucol;Sambucol;brand;17
goodyear;Goodyear;Goodyear;Goodyear;brand;17
care;"Care +";"Care +";"Care +";brand;18
gt_radial;"GT Radial";"GT Radial";"GT Radial";brand;18
wellkid;Wellkid;Wellkid;Wellkid;brand;19
hankook;Hankook;Hankook;Hankook;brand;19
hercules_tires;"Hercules Tires";"Hercules Tires";"Hercules Tires";brand;20
ironman;Ironman;Ironman;Ironman;brand;21
journey;Journey;Journey;Journey;brand;22
kapsen;Kapsen;Kapsen;Kapsen;brand;23
kelly_tires;"Kelly Tires";"Kelly Tires";"Kelly Tires";brand;24
kinforest;Kinforest;Kinforest;Kinforest;brand;25
kumho_tires;"Kumho Tires";"Kumho Tires";"Kumho Tires";brand;26
laufenn;Laufenn;Laufenn;Laufenn;brand;27
mastertrack;Mastertrack;Mastertrack;Mastertrack;brand;28
maxtrek_tyres;"Maxtrek Tyres";"Maxtrek Tyres";"Maxtrek Tyres";brand;29
maxxis;Maxxis;Maxxis;Maxxis;brand;30
mazzini;Mazzini;Mazzini;Mazzini;brand;31
michelin;Michelin;Michelin;Michelin;brand;32
nitto;Nitto;Nitto;Nitto;brand;37
ovation;Ovation;Ovation;Ovation;brand;38
pirelli;Pirelli;Pirelli;Pirelli;brand;39
radar;Radar;Radar;Radar;brand;40
roadrider;Roadrider;Roadrider;Roadrider;brand;41
rovelo;ROVELO;ROVELO;ROVELO;brand;42
sailun_tires;"Sailun Tires";"Sailun Tires";"Sailun Tires";brand;43
starfire;Starfire;Starfire;Starfire;brand;44
sunfull;Sunfull;Sunfull;Sunfull;brand;45
toyo_tires;"Toyo Tires";"Toyo Tires";"Toyo Tires";brand;46
uniroyal;Uniroyal;Uniroyal;Uniroyal;brand;47
yokohama;Yokohama;Yokohama;Yokohama;brand;48
zestino;Zestino;Zestino;Zestino;brand;49
zeta;Zeta;Zeta;Zeta;brand;50
numark;Numark;Numark;Numark;brand;51
feruglobon;Feruglobin;Feruglobin;Feruglobin;brand;52
sudocream;Sudocream;Sudocream;Sudocream;brand;53
elizabeth_arden;"Elizabeth Arden";"Elizabeth Arden";"Elizabeth Arden";brand;54
Jarritos;Jarritos;Jarritos;Jarritos;brand;55
martinelli;Martinelli;Martinelli;Martinelli;brand;56
Roma;Roma;;;brand;57
kalms_night;"Kalms night";;;brand;58
biofreeze;Biofreeze;;;brand;59
zaro;Zaro;;;brand;60
36;36;;;shoes_size;0
37;37;;;shoes_size;1
38;38;;;shoes_size;2
39;39;;;shoes_size;3
40;40;;;shoes_size;4
uk35us5;"UK 3.5 / US 5";;;shoes_size;5
uk45us6;"UK 4.5 / US 6";;;shoes_size;6
eu28;"EU 28";;;shoes_size;7
eu29;"EU 29";;;shoes_size;8
womenswear;Womenswear;;;gender_type;0
menswear;Menswear;;;gender_type;1
kidswear;Kidswear;;;gender_type;2
001;Women;;;gender_type;3
005;"Toddler & Kids";;;gender_type;4
men;Men;;;gender_type;5
003733;"Miuccia Prada";"Miuccia Prada";"Miuccia Prada";designer;0
000906;"Opening Ceremony";"Opening Ceremony";"Opening Ceremony";designer;0
000982;Kenzo;Kenzo;Kenzo;designer;0
200198;HatAttack;HatAttack;HatAttack;designer;0
003734;"Lucie & Luke";"Lucie & Luke";"Lucie & Luke";designer;0
000908;"Mc Rose";"Mc Rose";"Mc Rose";designer;0
000983;"Mary Katrantzou";"Mary Katrantzou";"Mary Katrantzou";designer;0
200200;"Prada Sunglasses";"Prada Sunglasses";"Prada Sunglasses";designer;0
003735;"Demna Gvasalia";"Demna Gvasalia";"Demna Gvasalia";designer;0
000909;"French Curve";"French Curve";"French Curve";designer;0
000984;"Paco Rabanne";"Paco Rabanne";"Paco Rabanne";designer;0
200210;"Opening Ceremony Shoe`s";"Opening Ceremony Shoe`s";"Opening Ceremony Shoe`s";designer;0
003736;"Pierpaolo Piccoli";"Pierpaolo Piccoli";"Pierpaolo Piccoli";designer;0
000910;Hockley;Hockley;Hockley;designer;0
000985;"Pierre Hardy";"Pierre Hardy";"Pierre Hardy";designer;0
200231;"Eric et Lydie";"Eric et Lydie";"Eric et Lydie";designer;0
003737;"Kym Ellery";"Kym Ellery";"Kym Ellery";designer;0
000911;"Australia Luxe";"Australia Luxe";"Australia Luxe";designer;0
000986;"Reed Krakoff";"Reed Krakoff";"Reed Krakoff";designer;0
200236;"Pedag Schuheinlagen";"Pedag Schuheinlagen";"Pedag Schuheinlagen";designer;0
003738;"Sandra Choi";"Sandra Choi";"Sandra Choi";designer;0
000912;"Lily and Lionel";"Lily and Lionel";"Lily and Lionel";designer;0
